Unnamed: 0,HOLEID,DEPTH,RL,Method,EAST,NORTH,CollarDip,CollarAzimuth,RigID,TENEMENTID,STARTDATE,ENDDATE,Surveyed
D,CB0136,78.0,421.0,RC,727197.0,7533202.767,-90.0,0.0,MAK5,E45/2499,13-Dec-04,14-Dec-04,24-Feb-05
D,CB0137,72.0,424.0,RC,727199.0,7533800.073,-90.0,0.0,MAK5,E45/2499,14-Dec-04,14-Dec-04,24-Feb-05
D,CB0138,84.0,422.0,RC,726398.0,7534798.016,-90.0,0.0,MAK5,E45/2499,14-Dec-04,14-Dec-04,24-Feb-05
D,CB0139,64.0,422.0,RC,726396.0,7534402.076,-90.0,0.0,MAK5,E45/2499,15-Dec-04,15-Dec-04,24-Feb-05
D,CB0140,60.0,422.0,RC,726402.0,7534011.817,-90.0,0.0,MAK5,E45/2499,15-Dec-04,15-Dec-04,24-Feb-05
D,CB0141,42.0,423.0,RC,726401.0,7535003.976,-90.0,0.0,MAK5,E45/2499,15-Dec-04,15-Dec-04,24-Feb-05
D,CB0142,54.0,415.0,RC,724802.0,7535397.129,-90.0,0.0,MAK5,E45/2499,16-Dec-04,16-Dec-04,24-Feb-05
D,CB0143,66.0,415.0,RC,724802.0,7535200.918,-90.0,0.0,MAK5,E45/2499,16-Dec-04,16-Dec-04,24-Feb-05
D,CB0144,80.0,415.0,RC,724799.0,7534799.979,-90.0,0.0,MAK5,E45/2499,16-Dec-04,16-Dec-04,24-Feb-05
D,CB0145,42.0,415.0,RC,724794.0,7534598.395,-90.0,0.0,MAK5,E45/2499,17-Dec-04,17-Dec-04,24-Feb-05
D,CB0146,57.0,422.0,RC,726400.0,7534601.93,-90.0,0.0,MAK5,E45/2499,17-Dec-04,17-Dec-04,24-Feb-05
D,CB0147,36.0,427.0,RC,733601.0,7534198.214,-90.0,0.0,MAK5,E45/2498,19-Dec-04,19-Dec-04,24-Feb-05
D,CB0148,30.0,427.0,RC,733596.0,7534402.096,-90.0,0.0,MAK5,E45/2499,19-Dec-04,19-Dec-04,24-Feb-05
D,CB0149,48.0,432.0,RC,733592.0,7534598.982,-90.0,0.0,MAK5,E45/2498,19-Dec-04,19-Dec-04,24-Feb-05
D,CB0150,42.0,441.0,RC,733597.0,7534800.288,-90.0,0.0,MAK5,E45/2498,19-Dec-04,19-Dec-04,24-Feb-05
D,CB0151,36.0,438.0,RC,733601.0,7535000.074,-90.0,0.0,MAK5,E45/2498,19-Dec-04,19-Dec-04,24-Feb-05
D,CB0152,24.0,434.0,RC,733597.0,7535200.633,-90.0,0.0,MAK5,E45/2498,19-Dec-04,19-Dec-04,24-Feb-05
D,CB0153,30.0,432.0,RC,733598.0,7535399.299,-90.0,0.0,MAK5,E45/2498,6-Jan-05,6-Jan-05,24-Feb-05
D,CB0154,24.0,433.0,RC,733597.0,7535598.671,-90.0,0.0,MAK5,E45/2498,6-Jan-05,6-Jan-05,24-Feb-05
D,CB0155,18.0,432.0,RC,733595.0,7535800.214,-90.0,0.0,MAK5,E45/2498,6-Jan-05,6-Jan-05,24-Feb-05
D,CB0156,24.0,432.0,RC,734539.0,7534796.462,-90.0,0.0,MAK5,E45/2498,6-Jan-05,6-Jan-05,24-Feb-05
D,CB0157,24.0,430.0,RC,734434.0,7534584.381,-90.0,0.0,MAK5,E45/2498,6-Jan-05,6-Jan-05,24-Feb-05
D,CB0158,24.0,428.0,RC,734395.0,7534202.335,-90.0,0.0,MAK5,E45/2498,6-Jan-05,6-Jan-05,24-Feb-05
D,CB0159,30.0,426.0,RC,734459.0,7533799.612,-90.0,0.0,MAK5,E46/590,6-Jan-05,6-Jan-05,24-Feb-05
D,CB0160,30.0,425.0,RC,734402.0,7533399.955,-90.0,0.0,MAK5,E46/590,7-Jan-05,7-Jan-05,24-Feb-05
D,CB0161,42.0,424.0,RC,734395.0,7533198.791,-90.0,0.0,MAK5,E46/590,7-Jan-05,7-Jan-05,24-Feb-05
D,CB0162,36.0,423.0,RC,734398.0,7532998.923,-90.0,0.0,MAK5,E46/590,7-Jan-05,7-Jan-05,24-Feb-05
D,CB0163,60.0,423.0,RC,734398.0,7532798.419,-90.0,0.0,MAK5,E46/590,7-Jan-05,7-Jan-05,24-Feb-05
D,CB0164,66.0,422.0,RC,734400.0,7532598.872,-90.0,0.0,MAK5,E46/590,7-Jan-05,7-Jan-05,24-Feb-05
D,CB0165,72.0,421.0,RC,734399.0,7532399.039,-90.0,0.0,MAK5,E46/590,7-Jan-05,7-Jan-05,24-Feb-05
D,CB0166,72.0,420.0,RC,734400.0,7532198.328,-90.0,0.0,MAK5,E46/590,8-Jan-05,8-Jan-05,24-Feb-05
D,CB0167,60.0,419.0,RC,734400.0,7532000.456,-90.0,0.0,MAK5,E46/590,8-Jan-05,8-Jan-05,24-Feb-05
D,CB0168,30.0,425.0,RC,734477.0,7533602.691,-90.0,0.0,MAK5,E46/590,8-Jan-05,8-Jan-05,24-Feb-05
D,CB0169,48.0,423.0,RC,735000.0,7533201.032,-90.0,0.0,MAK5,E46/590,9-Jan-05,9-Jan-05,24-Feb-05
D,CB0170,42.0,421.0,RC,734999.0,7532800.224,-90.0,0.0,MAK5,E46/590,9-Jan-05,9-Jan-05,24-Feb-05
